order_date,product_id,product_category,quantity_sold
28/10/2023,2609910,Hayfever,30
20/11/2023,2609910,Hayfever,12
23/11/2023,2609910,Hayfever,6
26/11/2023,2609910,Hayfever,14
19/12/2023,2609910,Hayfever,5
22/12/2023,2609910,Hayfever,6
25/12/2023,2609910,Hayfever,3
28/12/2023,2609910,Hayfever,8
20/02/2023,2617798,Cold and Flu,1
23/02/2023,2617798,Cold and Flu,28
26/02/2023,2617798,Cold and Flu,12
1/03/2023,2617798,Cold and Flu,17
21/03/2023,2617798,Cold and Flu,1
27/03/2023,2617798,Cold and Flu,3
30/03/2023,2617798,Cold and Flu,3
22/04/2023,2617798,Cold and Flu,17
25/04/2023,2617798,Cold and Flu,33
28/04/2023,2617798,Cold and Flu,9
1/05/2023,2617798,Cold and Flu,22
21/05/2023,2617798,Cold and Flu,9
24/05/2023,2617798,Cold and Flu,22
27/05/2023,2617798,Cold and Flu,10
30/05/2023,2617798,Cold and Flu,33
22/06/2023,2617798,Cold and Flu,20
25/06/2023,2617798,Cold and Flu,17
28/06/2023,2617798,Cold and Flu,11
21/07/2023,2617798,Cold and Flu,14
24/07/2023,2617798,Cold and Flu,18
27/07/2023,2617798,Cold and Flu,20
30/07/2023,2617798,Cold and Flu,8
19/08/2023,2617798,Cold and Flu,1
22/08/2023,2617798,Cold and Flu,5
25/08/2023,2617798,Cold and Flu,5
28/08/2023,2617798,Cold and Flu,2
20/09/2023,2617798,Cold and Flu,8
26/09/2023,2617798,Cold and Flu,2
19/10/2023,2617798,Cold and Flu,2
22/10/2023,2617798,Cold and Flu,4
25/10/2023,2617798,Cold and Flu,3
28/10/2023,2617798,Cold and Flu,1
17/11/2023,2617798,Cold and Flu,3
20/11/2023,2617798,Cold and Flu,2
23/11/2023,2617798,Cold and Flu,3
26/11/2023,2617798,Cold and Flu,25
19/12/2023,2617798,Cold and Flu,3
22/12/2023,2617798,Cold and Flu,5
25/12/2023,2617798,Cold and Flu,3
28/12/2023,2617798,Cold and Flu,6
10/01/2023,2686282,Hair Care,23
13/01/2023,2686282,Hair Care,10
16/01/2023,2686282,Hair Care,21
19/01/2023,2686282,Hair Care,21
11/02/2023,2686282,Hair Care,7
14/02/2023,2686282,Hair Care,19
17/02/2023,2686282,Hair Care,7
12/03/2023,2686282,Hair Care,12
15/03/2023,2686282,Hair Care,11
18/03/2023,2686282,Hair Care,26
21/03/2023,2686282,Hair Care,15
10/04/2023,2686282,Hair Care,10
13/04/2023,2686282,Hair Care,20
16/04/2023,2686282,Hair Care,7
19/04/2023,2686282,Hair Care,9
12/05/2023,2686282,Hair Care,12
15/05/2023,2686282,Hair Care,155
18/05/2023,2686282,Hair Care,56
21/05/2023,2686282,Hair Care,60
10/06/2023,2686282,Hair Care,10
13/06/2023,2686282,Hair Care,8
16/06/2023,2686282,Hair Care,3
19/06/2023,2686282,Hair Care,17
12/07/2023,2686282,Hair Care,17
15/07/2023,2686282,Hair Care,37
18/07/2023,2686282,Hair Care,25
10/08/2023,2686282,Hair Care,11
13/08/2023,2686282,Hair Care,7
16/08/2023,2686282,Hair Care,25
19/08/2023,2686282,Hair Care,12
8/09/2023,2686282,Hair Care,27
11/09/2023,2686282,Hair Care,35
14/09/2023,2686282,Hair Care,31
17/09/2023,2686282,Hair Care,25
10/10/2023,2686282,Hair Care,6
13/10/2023,2686282,Hair Care,11
16/10/2023,2686282,Hair Care,14
19/10/2023,2686282,Hair Care,15
8/11/2023,2686282,Hair Care,18
11/11/2023,2686282,Hair Care,11
14/11/2023,2686282,Hair Care,4
17/11/2023,2686282,Hair Care,2
10/12/2023,2686282,Hair Care,15
13/12/2023,2686282,Hair Care,13
16/12/2023,2686282,Hair Care,12
5/01/2023,2696343,Cosmetics,8
8/01/2023,2696343,Cosmetics,2
11/01/2023,2696343,Cosmetics,30
3/02/2023,2696343,Cosmetics,24
6/02/2023,2696343,Cosmetics,14
9/02/2023,2696343,Cosmetics,6
12/02/2023,2696343,Cosmetics,9
4/03/2023,2696343,Cosmetics,29
7/03/2023,2696343,Cosmetics,33
10/03/2023,2696343,Cosmetics,7
13/03/2023,2696343,Cosmetics,14
5/04/2023,2696343,Cosmetics,34
